Ticker,Date,Price,Momentum_6m,Volatility_30d,Avg_Volume_30d,Treated,Match_ID
TAP,2019-04-02,50.22624588012695,-0.004547031595526385,0.009421253285460169,1631803.3333333333,0,79
HAL,2019-04-02,26.121877670288086,-0.26215884228747466,0.02042654311122514,10288910.0,0,79
VRTX,2019-04-02,187.11000061035156,-0.023281341250454446,0.016273828607162796,1310503.3333333333,0,79
MSCI,2019-04-02,191.42213439941406,0.14780253944877852,0.012124874739810408,660856.6666666666,0,79
IP,2019-04-02,32.91737747192383,-0.036287532337459405,0.01493339197734193,3050695.933333333,0,79
ORLY,2019-04-02,26.288667678833008,0.14040723696986412,0.01212334137101474,8823350.0,0,79
RMD,2019-04-02,98.88471984863281,-0.0814212840225712,0.010993911907756952,960506.6666666666,0,79
DD,2025-11-03,34.51408767700195,0.2891709713073194,0.018519153375159775,7828969.733333333,1,80
CLX,2025-11-03,109.13999938964844,-0.17508059359698402,0.014238794317162885,1692610.0,0,80
CSCO,2025-11-03,74.44999694824219,0.27237348073516543,0.011687089364307643,17785126.666666668,0,80
HIG,2025-11-03,123.72586822509766,-0.010412365277202018,0.011227568526164827,1489620.0,0,80
VRSN,2025-11-03,243.80731201171875,-0.13164885652998792,0.016401555147578066,926753.3333333334,0,80
AVGO,2025-11-03,362.54998779296875,0.8193111295389792,0.027502840434400197,20768153.333333332,0,80
APD,2025-11-03,239.36000061035156,-0.09393819253379565,0.012676881414626178,1245430.0,0,80
XEL,2025-11-03,81.26000213623047,0.16208676346912476,0.015113533336091903,5017640.0,0,80
XYZ,2025-11-03,74.30000305175781,0.5711567268623572,0.026772436357704963,5797313.333333333,0,80
INTU,2025-11-03,676.1900024414062,0.0826629252419322,0.012514300659971278,1663570.0,0,80
EQIX,2025-11-03,827.8269653320312,-0.037638900083896365,0.014730766322715659,491410.0,0,80
ETN,2011-03-01,37.06391143798828,0.5610131108089043,0.01866208342480334,3427440.0,1,81
APH,2011-03-01,6.193535804748535,0.3827174608933297,0.013255694091895209,11129146.666666666,0,81
YUM,2011-03-01,27.011817932128906,0.20784502094713764,0.012544470630605148,4922011.8,0,81
NUE,2011-03-01,31.48823356628418,0.290040948823699,0.015986025741713483,3911010.0,0,81
PRU,2011-03-01,36.0938606262207,0.3114836104554548,0.0166921628595342,3541740.0,0,81
BK,2011-03-01,21.240375518798828,0.2512361155399212,0.014660244764118346,6318870.0,0,81
COF,2011-03-01,38.07912826538086,0.2771891849150854,0.017505530988640067,4495313.333333333,0,81
HPQ,2011-03-01,12.672198295593262,0.12043528101815726,0.021869705739945934,47452182.5,0,81
ROL,2011-03-01,4.63225793838501,0.4212250021396171,0.013411040642891907,835672.7666666667,0,81
CHTR,2011-03-01,46.93000030517578,0.3905185275607639,0.01383667677042413,270463.3333333333,0,81
AFL,2011-03-01,20.093324661254883,0.23122936300494756,0.013874029251285015,6742493.333333333,0,81
EBAY,2015-07-20,25.426239013671875,0.2645735945679768,0.01426598029341312,26782280.666666668,1,82
EOG,2015-07-20,57.329444885253906,-0.12433994411790039,0.012932892771454842,4000050.0,0,82
XEL,2015-07-20,24.318376541137695,-0.0842510813879459,0.009420774998924889,2840506.6666666665,0,82
HAS,2015-07-20,58.873416900634766,0.6194632385208063,0.014926046762066202,1327626.6666666667,0,82
STX,2015-07-20,29.267335891723633,-0.22995289741613267,0.016305108107403262,4543656.666666667,0,82
JBHT,2015-07-20,75.69259643554688,0.03128903905480307,0.011546229845494598,1555590.0,0,82
TMO,2015-07-20,132.11312866210938,0.08980450039847332,0.010673153877996768,1622200.0,0,82
FICO,2015-07-20,94.8055191040039,0.29075649647461765,0.012285822881788973,172423.33333333334,0,82
WDC,2015-07-20,50.14606475830078,-0.25614333665646716,0.014728706224745933,3193726.466666667,0,82
AVGO,2015-07-20,10.248498916625977,0.29130291058140134,0.019133285871722867,35084166.666666664,0,82
EME,2015-07-20,45.73809814453125,0.20239464703305066,0.009633395846750884,279253.3333333333,0,82
EW,2010-05-28,8.421667098999023,0.2246728060545511,0.02047091368012533,6438440.0,1,83
AMD,2010-05-28,8.569999694824219,0.25109486337779896,0.03664737170743677,32024526.666666668,0,83
INCY,2010-05-28,12.890000343322754,0.5363527790057077,0.042220713979373256,2277376.6666666665,0,83
STE,2010-05-28,25.861616134643555,-0.013159848346563585,0.01685966519121706,543096.6666666666,0,83
PEG,2010-05-28,17.13336181640625,0.012757077071118283,0.013873537492052036,3473306.6666666665,0,83
AKAM,2010-05-28,39.720001220703125,0.6605351627932419,0.04541391877771108,4818440.0,0,83
MMC,2010-05-28,15.969598770141602,-0.0030778049174866595,0.018410924565233112,3446193.3333333335,0,83
SRE,2010-05-28,14.125938415527344,-0.11385978003536035,0.013634630718397095,4934766.666666667,0,83
PH,2010-05-28,47.28125,0.15696029761271912,0.030671438491132148,2297580.0,0,83
ORCL,2010-05-28,18.300371170043945,0.025756638197496073,0.017870806482534182,32968716.666666668,0,83
MGM,2010-05-28,11.76860237121582,0.17992444252915485,0.046589779213909305,35334956.666666664,0,83
EW,2015-12-14,26.843332290649414,0.1374293159641764,0.014451263109726694,4933540.0,1,84
BA,2015-12-14,128.24720764160156,0.00956696040467686,0.010468961470790204,3041696.6666666665,0,84
YUM,2015-12-14,42.73884963989258,-0.20649520822595968,0.017070280001562858,5290506.166666667,0,84
LHX,2015-12-14,67.5372314453125,0.05547225528763611,0.010076132347124515,922806.6666666666,0,84
BAX,2015-12-14,31.096399307250977,-0.00711382509920655,0.009799571907591951,3886560.0,0,84
MCHP,2015-12-14,18.37434196472168,-0.053821160362357956,0.013705593679596288,3559286.6666666665,0,84
KIM,2015-12-14,15.40972900390625,0.09253112238001981,0.013724740954235698,3050433.3333333335,0,84
WMB,2015-12-14,14.723016738891602,-0.4531063810009701,0.04277793599824173,9358473.333333334,0,84
A,2015-12-14,37.127864837646484,0.021916157039262973,0.015203965750302997,3744070.0,0,84
EA,2015-12-14,67.72998809814453,0.08033488598046779,0.024995178642718975,4345610.0,0,84
VTR,2015-12-14,35.06926727294922,-0.24949001034184248,0.01715671454435898,2959930.0,0,84
EW,2020-06-01,74.2699966430664,-0.09034870699611797,0.02107718883449854,3231496.6666666665,1,85
K,2020-06-01,51.44943618774414,0.03387143781613888,0.014136385270153247,2277144.1333333333,0,85
GE,2020-06-01,32.83968734741211,-0.39903738219111673,0.0447852735971931,25025141.433333334,0,85
CTVA,2020-06-01,25.161331176757812,0.04151391484426381,0.032647571229913,4218580.0,0,85
TEL,2020-06-01,77.47496032714844,-0.0780703387766245,0.03559085428577826,2027143.3333333333,0,85
CPB,2020-06-01,42.95995330810547,0.12709722643680288,0.018224997076176856,2353280.0,0,85
BK,2020-06-01,32.08488082885742,-0.21825474094948094,0.027622016979782924,5447840.0,0,85
TFC,2020-06-01,29.498750686645508,-0.28853968532025065,0.042681041853633056,6542313.333333333,0,85
TJX,2020-06-01,49.520301818847656,-0.12437261864218319,0.03151683620333942,10724960.0,0,85
GL,2020-06-01,75.61848449707031,-0.22530999821323971,0.035912283582552135,717520.0,0,85
WAB,2020-06-01,59.974395751953125,-0.2089529108975613,0.03668913237948454,1382723.3333333333,0,85
ETR,2024-12-13,72.20413208007812,0.4208597922730051,0.016253917505560316,3651716.6666666665,1,86
JKHY,2024-12-13,177.40936279296875,0.09632573831339131,0.009600187770509338,705370.0,0,86
UNH,2024-12-13,511.38568115234375,0.07174330686724462,0.025039268898047917,4560313.333333333,0,86
SWK,2024-12-13,79.10798645019531,-0.0014446481904628605,0.018395531211978133,1804160.0,0,86
WY,2024-12-13,29.093671798706055,0.044484242242596395,0.013267667725889089,3117583.3333333335,0,86
LNT,2024-12-13,58.536502838134766,0.23755043453806857,0.014303133350020626,1774893.3333333333,0,86
LHX,2024-12-13,218.96546936035156,0.02105729698314618,0.01563813722740354,907250.0,0,86
TJX,2024-12-13,123.32135772705078,0.14017185836850232,0.008734701198170302,5378210.0,0,86
NOC,2024-12-13,471.8072814941406,0.1260024199300387,0.012476315970802045,795596.6666666666,0,86
TROW,2024-12-13,114.9091567993164,0.0442868295956913,0.014552243800513152,1391696.6666666667,0,86
PM,2024-12-13,122.05899047851562,0.27101064252369866,0.015586034666782236,5214190.0,0,86
EOG,2014-04-01,72.0845718383789,0.15240753375952987,0.01023425421622683,4415590.0,1,87
STX,2014-04-01,33.48322677612305,0.2979463368108184,0.01752508527755912,3336956.6666666665,0,87
KDP,2014-04-01,6.612886905670166,0.2277135558213137,0.007922102953165405,2140390.0,0,87
MOH,2014-04-01,37.5,0.03391231118589744,0.01198090614471235,458693.3333333333,0,87
ADP,2014-04-01,52.966651916503906,0.08730880911138317,0.008220238962161813,2153636.3666666667,0,87
BAC,2014-04-01,13.668214797973633,0.24903205902768843,0.013831076403064566,107262490.0,0,87
PWR,2014-04-01,36.34172439575195,0.3318949668590858,0.015944636813081146,2117410.0,0,87
HST,2014-04-01,13.106114387512207,0.16460805157280367,0.010007853918421789,5949030.0,0,87
NTRS,2014-04-01,48.420562744140625,0.21380958032056285,0.010189932197634475,1067413.3333333333,0,87
CPRT,2014-04-01,4.568749904632568,0.11398956742543986,0.011008202838080747,5076880.0,0,87
JBL,2014-04-01,16.294816970825195,-0.16629783697659384,0.014458517667005297,2747683.3333333335,0,87
EQT,2018-11-13,17.163034439086914,-0.36753895768302536,0.042118091267336975,13713024.866666667,1,88
PTC,2018-11-13,85.20999908447266,0.012235670890506478,0.030763297526119757,1558706.6666666667,0,88
PM,2018-11-13,59.71372985839844,0.09653505174491506,0.013767701699744415,6401363.333333333,0,88
BF-B,2018-11-13,42.12709426879883,-0.18740542853804332,0.017219254150086353,1369003.3333333333,0,88
AOS,2018-11-13,40.16980743408203,-0.2709682390657947,0.02603404053559252,2788733.3333333335,0,88
ECL,2018-11-13,146.27667236328125,0.07686924341708035,0.01336190074043369,1352196.6666666667,0,88
CINF,2018-11-13,67.6101303100586,0.15878098964173337,0.01966533492080943,702703.3333333334,0,88
JBHT,2018-11-13,98.75559997558594,-0.15776128015191415,0.01592779241773765,983630.0,0,88
BALL,2018-11-13,45.30198669433594,0.2989905066718004,0.019163868826803817,3668566.6666666665,0,88
LEN,2018-11-13,36.6865119934082,-0.19437103861949656,0.025353286396579498,6176610.0,0,88
CMCSA,2018-11-13,31.438013076782227,0.1769125377742089,0.02059137754841297,24905613.333333332,0,88
EL,2012-01-23,48.266136169433594,0.08566913732112025,0.012266512795464956,2078593.3333333333,1,89
O,2012-01-23,17.97353172302246,0.07320382874033449,0.009213247044051418,866580.7666666667,0,89
EW,2012-01-23,13.21833324432373,0.06613797800315901,0.021404037427504293,6000620.0,0,89
IBM,2012-01-23,108.33966827392578,0.04286550239288567,0.014314916738699293,5664027.2,0,89
K,2012-01-23,30.329448699951172,-0.07198263274235572,0.006936435116720643,1753160.6666666667,0,89
QCOM,2012-01-23,40.20865249633789,0.03217332787826299,0.012216585959175047,11357263.333333334,0,89
HIG,2012-01-23,13.972126960754395,-0.20434859205986344,0.030774339514640012,7652023.333333333,0,89
HAS,2012-01-23,21.310171127319336,-0.14886681566448645,0.017639100399495625,2027713.3333333333,0,89
NTRS,2012-01-23,30.140483856201172,-0.03849665585355533,0.015379458524553751,1660176.6666666667,0,89
CSGP,2012-01-23,6.03000020980835,0.043794402210701966,0.018563627595808516,1550333.3333333333,0,89
LYV,2012-01-23,10.460000038146973,-0.08885013456112534,0.02931581752946548,1078736.6666666667,0,89
EXC,2022-02-02,37.13206100463867,0.27959113330798857,0.011557110472545807,11317711.7,1,90
AIG,2022-02-02,55.38322448730469,0.2528403472032137,0.016719266089653295,4831576.666666667,0,90
TDG,2022-02-02,522.0148315429688,0.005636021624601195,0.01529421301575253,249523.33333333334,0,90
SHW,2022-02-02,283.7388610839844,-0.001061302294628419,0.015639531434256216,1630426.6666666667,0,90
MAA,2022-02-02,183.85704040527344,0.11875434182444544,0.016162428728467407,603206.6666666666,0,90
FICO,2022-02-02,504.6600036621094,0.03626284119529655,0.03563909904408041,282946.6666666667,0,90
STLD,2022-02-02,55.80177307128906,-0.03166887167687882,0.027836081663224408,2131990.0,0,90
WY,2022-02-02,35.03407669067383,0.23107272070082874,0.017619137939514137,3476633.3333333335,0,90
OXY,2022-02-02,37.60398483276367,0.5138904406367559,0.03303799002783981,16843630.0,0,90
UAL,2022-02-02,44.119998931884766,-0.06604577975712067,0.024640157837640404,11908750.0,0,90
ROK,2022-02-02,274.2886657714844,-0.05532769374924784,0.01477377180810074,629870.0,0,90
FAST,2011-05-23,5.608771324157715,0.2403860805739515,0.012307986773495505,6965280.0,1,91
AXON,2011-05-23,4.480000019073486,0.09268295689752515,0.029137318513303284,474133.3333333333,0,91
EOG,2011-05-23,37.33927536010742,0.13049191226014378,0.017066783676895122,3741253.3333333335,0,91
CBRE,2011-05-23,25.989999771118164,0.38391900004560164,0.021744973717008058,3650536.6666666665,0,91
IFF,2011-05-23,45.19228744506836,0.21818463565268775,0.009772342571273608,707863.3333333334,0,91
MCHP,2011-05-23,13.792088508605957,0.17628878263666814,0.01384148554073123,4210126.666666667,0,91
STZ,2011-05-23,18.662498474121094,0.050096155280555665,0.012368050869949835,1856760.0,0,91
STE,2011-05-23,28.65279197692871,0.013201491753122907,0.010896605444218973,253200.0,0,91
SYK,2011-05-23,52.50851821899414,0.23465254031898564,0.011710668194920622,2602910.0,0,91
ALGN,2011-05-23,23.270000457763672,0.3373563774669335,0.03523140356962403,653733.3333333334,0,91
URI,2011-05-23,23.650854110717773,0.22651933100522803,0.02761595184217278,2039133.3333333333,0,91
FAST,2019-05-23,13.263930320739746,0.1470264172765534,0.017521980925424934,9798560.0,1,92
KR,2019-05-23,20.44362449645996,-0.1965055344343355,0.013872873711412376,7391800.0,0,92
GPN,2019-05-23,141.3028564453125,0.4348005950896121,0.01179284135487857,849560.0,0,92
CTRA,2019-05-23,19.119754791259766,0.01902210348846478,0.0160174854817404,6406413.333333333,0,92
